実態	名詞,一般,*,*,*,*,実態,ジッタイ,ジッタイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
把握	名詞,サ変接続,*,*,*,*,把握,ハアク,ハアク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
適切	名詞,形容動詞語幹,*,*,*,*,適切,テキセツ,テキセツ
に	助詞,副詞化,*,*,*,*,に,ニ,ニ
監督	名詞,サ変接続,*,*,*,*,監督,カントク,カントク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
体制	名詞,一般,*,*,*,*,体制,タイセイ,タイセイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
作る	動詞,自立,*,*,五段・ラ行,基本形,作る,ツクル,ツクル
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
大	接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ
学校	名詞,一般,*,*,*,*,学校,ガッコウ,ガッコー
と	助詞,並立助詞,*,*,*,*,と,ト,ト
国	名詞,一般,*,*,*,*,国,クニ,クニ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
勧告	名詞,サ変接続,*,*,*,*,勧告,カンコク,カンコク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
報告	名詞,サ変接続,*,*,*,*,報告,ホウコク,ホーコク
書	名詞,接尾,一般,*,*,*,書,ショ,ショ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
同機	名詞,一般,*,*,*,*,同機,ドウキ,ドーキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
１	名詞,数,*,*,*,*,１,イチ,イチ
１	名詞,数,*,*,*,*,１,イチ,イチ
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
７月	名詞,副詞可能,*,*,*,*,７月,シチガツ,シチガツ
２	名詞,数,*,*,*,*,２,ニ,ニ
８	名詞,数,*,*,*,*,８,ハチ,ハチ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
午前	名詞,副詞可能,*,*,*,*,午前,ゴゼン,ゴゼン
９	名詞,数,*,*,*,*,９,キュウ,キュー
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
頃	名詞,接尾,副詞可能,*,*,*,頃,ゴロ,ゴロ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
帯広	名詞,固有名詞,地域,一般,*,*,帯広,オビヒロ,オビヒロ
空港	名詞,一般,*,*,*,*,空港,クウコウ,クーコー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
離陸	名詞,サ変接続,*,*,*,*,離陸,リリク,リリク
。	記号,句点,*,*,*,*,。,。,。
約	接頭詞,数接続,*,*,*,*,約,ヤク,ヤク
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
、	記号,読点,*,*,*,*,、,、,、
約	接頭詞,数接続,*,*,*,*,約,ヤク,ヤク
３	名詞,数,*,*,*,*,３,サン,サン
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
キロ	名詞,接尾,助数詞,*,*,*,キロ,キロ,キロ
離れ	動詞,自立,*,*,一段,連用形,離れる,ハナレ,ハナレ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
剣山	名詞,一般,*,*,*,*,剣山,ケンザン,ケンザン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
山中	名詞,一般,*,*,*,*,山中,サンチュウ,サンチュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
墜落	名詞,サ変接続,*,*,*,*,墜落,ツイラク,ツイラク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
同機	名詞,一般,*,*,*,*,同機,ドウキ,ドーキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
墜落	名詞,サ変接続,*,*,*,*,墜落,ツイラク,ツイラク
直前	名詞,一般,*,*,*,*,直前,チョクゼン,チョクゼン
、	記号,読点,*,*,*,*,、,、,、
教官	名詞,一般,*,*,*,*,教官,キョウカン,キョーカン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
指示	名詞,サ変接続,*,*,*,*,指示,シジ,シジ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
雲	名詞,一般,*,*,*,*,雲,クモ,クモ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
入り	動詞,自立,*,*,五段・ラ行,連用形,入る,ハイリ,ハイリ
、	記号,読点,*,*,*,*,、,、,、
周囲	名詞,一般,*,*,*,*,周囲,シュウイ,シューイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
目標	名詞,一般,*,*,*,*,目標,モクヒョウ,モクヒョー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
失っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,失う,ウシナッ,ウシナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
墜落	名詞,サ変接続,*,*,*,*,墜落,ツイラク,ツイラク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
20	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
15	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
34	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
最新	名詞,一般,*,*,*,*,最新,サイシン,サイシン
主要	名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
ニュース	名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
10	名詞,数,*,*,*,*,*
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
 	記号,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
 	記号,一般,*,*,*,*,*
YOMIURI	名詞,固有名詞,組織,*,*,*,*
ONLINE	名詞,一般,*,*,*,*,*
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
EOS
"
"増え	名詞,一般,*,*,*,*,増え,フエ,フエ
すぎ	名詞,接尾,副詞可能,*,*,*,すぎ,スギ,スギ
「	記号,括弧開,*,*,*,*,「,「,「
奈良	名詞,固有名詞,地域,一般,*,*,奈良,ナラ,ナラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
シカ	名詞,一般,*,*,*,*,シカ,シカ,シカ
」	記号,括弧閉,*,*,*,*,」,」,」
食害	名詞,サ変接続,*,*,*,*,食害,ショクガイ,ショクガイ
深刻	名詞,形容動詞語幹,*,*,*,*,深刻,シンコク,シンコク
…	記号,一般,*,*,*,*,…,…,…
検討	名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
委	名詞,接尾,一般,*,*,*,委,イ,イ
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
会合	名詞,サ変接続,*,*,*,*,会合,カイゴウ,カイゴー
　	記号,空白,*,*,*,*,　,　,　
奈良	名詞,固有名詞,地域,一般,*,*,奈良,ナラ,ナラ
県	名詞,接尾,地域,*,*,*,県,ケン,ケン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
奈良公園	名詞,固有名詞,一般,*,*,*,奈良公園,ナラコウエン,ナラコーエン
一帯	名詞,一般,*,*,*,*,一帯,イッタイ,イッタイ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
生息	名詞,サ変接続,*,*,*,*,生息,セイソク,セイソク
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
国	名詞,一般,*,*,*,*,国,クニ,クニ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
天然記念物	名詞,一般,*,*,*,*,天然記念物,テンネンキネンブツ,テンネンキネンブツ
「	記号,括弧開,*,*,*,*,「,「,「
奈良	名詞,固有名詞,地域,一般,*,*,奈良,ナラ,ナラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
シカ	名詞,一般,*,*,*,*,シカ,シカ,シカ
」	記号,括弧閉,*,*,*,*,」,」,」
の	助詞,連体化,*,*,*,*,の,ノ,ノ
保護	名詞,サ変接続,*,*,*,*,保護,ホゴ,ホゴ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
管理	名詞,サ変接続,*,*,*,*,管理,カンリ,カンリ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
計画	名詞,サ変接続,*,*,*,*,計画,ケイカク,ケイカク
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
考える	動詞,自立,*,*,一段,基本形,考える,カンガエル,カンガエル
検討	名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
委員	名詞,一般,*,*,*,*,委員,イイン,イイン
会	名詞,接尾,一般,*,*,*,会,カイ,カイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
設置	名詞,サ変接続,*,*,*,*,設置,セッチ,セッチ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
１	名詞,数,*,*,*,*,１,イチ,イチ
７	名詞,数,*,*,*,*,７,ナナ,ナナ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
奈良	名詞,固有名詞,地域,一般,*,*,奈良,ナラ,ナラ
市内	名詞,一般,*,*,*,*,市内,シナイ,シナイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
初	接頭詞,名詞接続,*,*,*,*,初,ハツ,ハツ
会合	名詞,サ変接続,*,*,*,*,会合,カイゴウ,カイゴー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
開い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,開く,ヒライ,ヒライ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
init	名詞,一般,*,*,*,*,*
({	名詞,サ変接続,*,*,*,*,*
site	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
ECO	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
area	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
P	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
RECTANGLE	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
300	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
250	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
admax	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
});	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
cAds	名詞,一般,*,*,*,*,*
();	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
dBanner	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
,'	名詞,サ変接続,*,*,*,*,*
prect	名詞,一般,*,*,*,*,*
');	名詞,サ変接続,*,*,*,*,*
　	記号,空白,*,*,*,*,　,　,　
頭数	名詞,一般,*,*,*,*,頭数,トウスウ,トースー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
増え	動詞,自立,*,*,一段,連用形,増える,フエ,フエ
、	記号,読点,*,*,*,*,、,、,、
過密	名詞,形容動詞語幹,*,*,*,*,過密,カミツ,カミツ
化	名詞,接尾,サ変接続,*,*,*,化,カ,カ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
影響	名詞,サ変接続,*,*,*,*,影響,エイキョウ,エイキョー
で	助詞,格助詞,一般,*,*,*,で,デ,デ
深刻	名詞,形容動詞語幹,*,*,*,*,深刻,シンコク,シンコク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
農作物	名詞,一般,*,*,*,*,農作物,ノウサクモツ,ノーサクモツ
被害	名詞,一般,*,*,*,*,被害,ヒガイ,ヒガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
、	記号,読点,*,*,*,*,、,、,、
５	名詞,数,*,*,*,*,５,ゴ,ゴ
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
めど	名詞,一般,*,*,*,*,めど,メド,メド
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
まとめる	動詞,自立,*,*,一段,基本形,まとめる,マトメル,マトメル
と	助詞,格助詞,引用,*,*,*,と,ト,ト
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
検討	名詞,サ変接続,*,*,*,*,検討,ケントウ,ケントー
委	名詞,接尾,一般,*,*,*,委,イ,イ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
大学	名詞,一般,*,*,*,*,大学,ダイガク,ダイガク
教授	名詞,一般,*,*,*,*,教授,キョウジュ,キョージュ
ら	名詞,接尾,一般,*,*,*,ら,ラ,ラ
８	名詞,数,*,*,*,*,８,ハチ,ハチ
人	名詞,接尾,助数詞,*,*,*,人,ニン,ニン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
構成	名詞,サ変接続,*,*,*,*,構成,コウセイ,コーセイ
。	記号,句点,*,*,*,*,。,。,。
委員	名詞,一般,*,*,*,*,委員,イイン,イイン
長	名詞,接尾,一般,*,*,*,長,チョウ,チョー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
村上	名詞,固有名詞,人名,姓,*,*,村上,ムラカミ,ムラカミ
興	名詞,一般,*,*,*,*,興,キョウ,キョー
正	名詞,固有名詞,人名,名,*,*,正,タダシ,タダシ
・	記号,一般,*,*,*,*,・,・,・
京都精華大	名詞,固有名詞,組織,*,*,*,京都精華大,キョウトセイカダイ,キョートセイカダイ
非常勤	名詞,一般,*,*,*,*,非常勤,ヒジョウキン,ヒジョーキン
講師	名詞,一般,*,*,*,*,講師,コウシ,コーシ
（	記号,括弧開,*,*,*,*,（,（,（
保全	名詞,サ変接続,*,*,*,*,保全,ホゼン,ホゼン
生態	名詞,一般,*,*,*,*,生態,セイタイ,セイタイ
学	名詞,接尾,一般,*,*,*,学,ガク,ガク
）	記号,括弧閉,*,*,*,*,）,）,）
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
就い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,就く,ツイ,ツイ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
この	連体詞,*,*,*,*,*,この,コノ,コノ
日	名詞,非自立,副詞可能,*,*,*,日,ヒ,ヒ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
委員	名詞,一般,*,*,*,*,委員,イイン,イイン
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
「	記号,括弧開,*,*,*,*,「,「,「
奈良公園	名詞,固有名詞,一般,*,*,*,奈良公園,ナラコウエン,ナラコーエン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
広い	形容詞,自立,*,*,形容詞・アウオ段,基本形,広い,ヒロイ,ヒロイ
。	記号,句点,*,*,*,*,。,。,。
被害	名詞,一般,*,*,*,*,被害,ヒガイ,ヒガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
調査	名詞,サ変接続,*,*,*,*,調査,チョウサ,チョーサ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
幾つ	名詞,一般,*,*,*,*,幾つ,イクツ,イクツ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
区域	名詞,一般,*,*,*,*,区域,クイキ,クイキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
分け	動詞,自立,*,*,一段,連用形,分ける,ワケ,ワケ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
行う	動詞,自立,*,*,五段・ワ行促音便,基本形,行う,オコナウ,オコナウ
べき	助動詞,*,*,*,文語・ベシ,体言接続,べし,ベキ,ベキ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
」	記号,括弧閉,*,*,*,*,」,」,」
「	記号,括弧開,*,*,*,*,「,「,「
食害	名詞,サ変接続,*,*,*,*,食害,ショクガイ,ショクガイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
緊急	名詞,形容動詞語幹,*,*,*,*,緊急,キンキュウ,キンキュー
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
として	助詞,格助詞,連語,*,*,*,として,トシテ,トシテ
、	記号,読点,*,*,*,*,、,、,、
大	接頭詞,名詞接続,*,*,*,*,大,ダイ,ダイ
規模	名詞,一般,*,*,*,*,規模,キボ,キボ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
柵	名詞,一般,*,*,*,*,柵,シガラミ,シガラミ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
設置	名詞,サ変接続,*,*,*,*,設置,セッチ,セッチ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
」	記号,括弧閉,*,*,*,*,」,」,」
といった	助詞,格助詞,連語,*,*,*,といった,トイッタ,トイッタ
意見	名詞,サ変接続,*,*,*,*,意見,イケン,イケン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
出	動詞,自立,*,*,一段,連用形,出る,デ,デ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
村上	名詞,固有名詞,人名,姓,*,*,村上,ムラカミ,ムラカミ
委員	名詞,一般,*,*,*,*,委員,イイン,イイン
長	名詞,接尾,一般,*,*,*,長,チョウ,チョー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
「	記号,括弧開,*,*,*,*,「,「,「
課題	名詞,一般,*,*,*,*,課題,カダイ,カダイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
対策	名詞,サ変接続,*,*,*,*,対策,タイサク,タイサク
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
一つ	名詞,一般,*,*,*,*,一つ,ヒトツ,ヒトツ
ずつ	助詞,副助詞,*,*,*,*,ずつ,ズツ,ズツ
取り組み	動詞,自立,*,*,五段・マ行,連用形,取り組む,トリクミ,トリクミ
、	記号,読点,*,*,*,*,、,、,、
頭数	名詞,一般,*,*,*,*,頭数,トウスウ,トースー
管理	名詞,サ変接続,*,*,*,*,管理,カンリ,カンリ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
必要	名詞,形容動詞語幹,*,*,*,*,必要,ヒツヨウ,ヒツヨー
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いき	動詞,非自立,*,*,五段・カ行促音便,連用形,いく,イキ,イキ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
」	記号,括弧閉,*,*,*,*,」,」,」
と	助詞,格助詞,引用,*,*,*,と,ト,ト
述べ	動詞,自立,*,*,一段,連用形,述べる,ノベ,ノベ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
奈良	名詞,固有名詞,地域,一般,*,*,奈良,ナラ,ナラ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
シカ	名詞,一般,*,*,*,*,シカ,シカ,シカ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
春日大社	名詞,固有名詞,組織,*,*,*,春日大社,カスガタイシャ,カスガタイシャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
神	名詞,一般,*,*,*,*,神,カミ,カミ
鹿	名詞,一般,*,*,*,*,鹿,シカ,シカ
(	名詞,サ変接続,*,*,*,*,*
しんろ	名詞,一般,*,*,*,*,しんろ,シンロ,シンロ
く	動詞,非自立,*,*,五段・カ行促音便,基本形,く,ク,ク
)	名詞,サ変接続,*,*,*,*,*
と	助詞,格助詞,一般,*,*,*,と,ト,ト
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
、	記号,読点,*,*,*,*,、,、,、
戦後	名詞,副詞可能,*,*,*,*,戦後,センゴ,センゴ
、	記号,読点,*,*,*,*,、,、,、
食糧	名詞,一般,*,*,*,*,食糧,ショクリョウ,ショクリョー
不足	名詞,サ変接続,*,*,*,*,不足,フソク,フソク
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
密猟	名詞,サ変接続,*,*,*,*,密猟,ミツリョウ,ミツリョー
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
で	助詞,格助詞,一般,*,*,*,で,デ,デ
いったん	副詞,一般,*,*,*,*,いったん,イッタン,イッタン
約	接頭詞,数接続,*,*,*,*,約,ヤク,ヤク
８	名詞,数,*,*,*,*,８,ハチ,ハチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
頭	名詞,接尾,助数詞,*,*,*,頭,トウ,トー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
減少	名詞,サ変接続,*,*,*,*,減少,ゲンショウ,ゲンショー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
１	名詞,数,*,*,*,*,１,イチ,イチ
９	名詞,数,*,*,*,*,９,キュウ,キュー
５	名詞,数,*,*,*,*,５,ゴ,ゴ
７	名詞,数,*,*,*,*,７,ナナ,ナナ
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
国	名詞,一般,*,*,*,*,国,クニ,クニ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
天然記念物	名詞,一般,*,*,*,*,天然記念物,テンネンキネンブツ,テンネンキネンブツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
指定	名詞,サ変接続,*,*,*,*,指定,シテイ,シテイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
受け	動詞,自立,*,*,一段,連用形,受ける,ウケ,ウケ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
手厚く	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,手厚い,テアツク,テアツク
保護	名詞,サ変接続,*,*,*,*,保護,ホゴ,ホゴ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
よう	名詞,非自立,助動詞語幹,*,*,*,よう,ヨウ,ヨー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なり	動詞,自立,*,*,五段・ラ行,連用形,なる,ナリ,ナリ
、	記号,読点,*,*,*,*,、,、,、
現在	名詞,副詞可能,*,*,*,*,現在,ゲンザイ,ゲンザイ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
約	接頭詞,数接続,*,*,*,*,約,ヤク,ヤク
１	名詞,数,*,*,*,*,１,イチ,イチ
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
頭	名詞,接尾,助数詞,*,*,*,頭,トウ,トー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
生息	名詞,サ変接続,*,*,*,*,生息,セイソク,セイソク
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
一方	接続詞,*,*,*,*,*,一方,イッポウ,イッポー
、	記号,読点,*,*,*,*,、,、,、
餌	名詞,一般,*,*,*,*,餌,エサ,エサ
不足	名詞,サ変接続,*,*,*,*,不足,フソク,フソク
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
周辺	名詞,一般,*,*,*,*,周辺,シュウヘン,シューヘン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
農地	名詞,一般,*,*,*,*,農地,ノウチ,ノーチ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
、	記号,読点,*,*,*,*,、,、,、
近く	名詞,副詞可能,*,*,*,*,近く,チカク,チカク
の	助詞,連体化,*,*,*,*,の,ノ,ノ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
遺産	名詞,一般,*,*,*,*,遺産,イサン,イサン
・	記号,一般,*,*,*,*,・,・,・
